Baseline_1961_1990_60
DOY,MeanTemp_avg,DailyGDD_avg,CumulativeGDD_avg,Rain_mm_avg,MoistureProxy60_avg,MoistureProxy60_min,MoistureProxy60_max
336,6.5,2.1,1839.1,5.7,-836.8,-1151.7,-663.9
337,6.7,2.1,1841.2,5.2,-822.1,-1147.7,-646.5
338,6.9,2.1,1843.3,5.3,-810.4,-1130.5,-650.0
339,6.8,2.1,1845.4,6.0,-797.2,-1092.2,-625.0
340,6.7,2.0,1847.3,4.5,-785.5,-1073.2,-604.9
341,6.6,1.9,1849.2,7.9,-772.0,-1052.2,-590.8
342,5.9,1.5,1850.7,5.7,-758.7,-1038.6,-578.2
343,5.6,1.6,1852.4,5.0,-745.6,-1008.7,-567.7
344,5.9,1.7,1854.0,5.2,-733.2,-987.9,-561.8
345,6.7,2.1,1856.2,6.6,-722.3,-966.8,-541.5
346,6.5,1.9,1858.1,6.4,-710.8,-951.3,-539.0
347,6.4,2.0,1860.1,4.4,-703.1,-939.7,-542.6
348,6.6,2.1,1862.2,5.1,-693.1,-926.6,-539.5
349,6.7,2.1,1864.3,5.1,-685.2,-919.4,-526.3
350,6.0,1.6,1865.9,4.1,-676.8,-906.8,-539.5
351,5.7,1.6,1867.6,3.7,-667.1,-896.4,-531.4
352,5.9,1.8,1869.2,5.3,-656.7,-874.9,-513.6
353,5.7,1.5,1870.8,4.1,-644.8,-854.6,-510.7
354,6.0,1.7,1872.5,3.6,-634.2,-850.7,-496.7
355,6.2,2.0,1874.5,4.7,-624.2,-841.7,-491.8
356,5.9,1.8,1876.3,5.5,-612.2,-833.9,-474.4
357,6.2,2.1,1878.3,6.1,-599.7,-828.6,-461.5
358,6.3,2.3,1880.6,7.9,-586.4,-820.3,-446.5
359,6.0,1.9,1882.6,4.3,-576.3,-812.3,-429.6
360,5.8,1.7,1884.3,5.3,-566.1,-778.1,-413.1
361,5.4,1.8,1886.1,3.2,-557.2,-776.3,-388.3
362,5.1,1.7,1887.8,5.9,-545.6,-787.4,-363.5
363,5.2,1.6,1889.3,4.9,-537.7,-789.1,-330.2
364,5.1,1.3,1890.7,4.5,-531.0,-792.8,-319.8
365,5.0,1.5,1892.1,3.7,-523.0,-797.6,-302.6
